"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","isbn","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2018","1","22","Enemy of the State",,"Vince Flynn","Fiction, Literature, Thriller","Simon & Schuster, Inc.","2017"
"Digital","Hoopla","TELEVISION","2018","1","1","Newspaper Mom / Cucumber in Rio / Donut Raffle",,,"Children's","DHX Media",
"Physical","Horizon","SOUNDDISC","2018","1","1","Mono / the Mavericks.",,"Mavericks (Musical group)","Country music 2011 2020","Valory,","[2015]"
"Digital","OverDrive","EBOOK","2018","1","2","Anna Karenina",,"Leo Tolstoy","Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.","2009"
"Digital","OverDrive","EBOOK","2018","1","1","Dragon: Vlad Series, Book 8",,"Steven Brust","Fantasy, Fiction","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2018","1","1","Little Dorrit",,"Charles Dickens","Classic Literature, Fiction, Literature","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2018","1","2","The Inside Out Man",,"Fred Strydom","Fiction, Horror, Suspense, Thriller","Lightning Source Inc","2017"
"Physical","Horizon","BOOK","2018","2","1","Spain : a history / edited by Raymond Carr.",,,"Spain History","Oxford University Press,","2000."
"Digital","OverDrive","EBOOK","2018","2","1","Krik? Krak!",,"Edwidge Danticat","Fiction, Literature, Short Stories","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2018","2","1","Cleopatra (Unabridged)",,"H. Rider Haggard","Fiction, Literature","Blackstone Audio, Inc.","2008"
"Digital","Hoopla","TELEVISION","2018","2","1","1410  Tannenberg-Cataclysm of Knights",,,"Educational, History","The Great Courses",
"Digital","OverDrive","EBOOK","2018","2","4","Starlings",,"Jo Walton","Fantasy, Fiction, Mythology, Short Stories","Lightning Source Inc","2018"
"Digital","OverDrive","AUDIOBOOK","2018","2","20","Matilda (Unabridged)",,"Roald Dahl","Fantasy, Juvenile Fiction","Books on Tape","2014"
"Digital","Hoopla","COMIC","2018","2","1","Cable & Deadpool: Deadpool Vs. The Marvel Universe",,,"Superhero, Teen","Marvel Entertainment",
"Digital","OverDrive","AUDIOBOOK","2018","2","4","The Power of Sleep (Unabridged)",,"Kelly Howell","Nonfiction, Self-Improvement","Books on Tape","2008"
"Digital","Hoopla","MOVIE","2018","2","1","League Of Denial: The NFL's Concussion Crisis",,,"Documentary, Football, Sports","PBS",
"Digital","OverDrive","AUDIOBOOK","2018","2","3","Phantom Instinct (Unabridged)",,"Meg Gardiner","Fiction, Mystery","Blackstone Audio, Inc.","2014"
"Digital","OverDrive","EBOOK","2018","2","1","A Death in Valencia",,"Jason Webster","Fiction, Mystery","Macmillan Publishers","2016"
"Digital","Hoopla","COMIC","2018","2","2","Anarky: The Complete Collection",,,"Action & Adventure, Crime, Superhero, Teen","DC Comics",
"Digital","Hoopla","COMIC","2018","3","1","Batman: The Long Halloween",,,"Media Tie-In, Superhero","DC Comics",
"Physical","Horizon","BOOK","2018","3","1","Salvo el crepúsculo / Julio Cortázar.",,"Cortázar, Julio",,"Alfaguara,","[1985]"
"Digital","Hoopla","TELEVISION","2018","3","1","Tomatoes…You Say Heirloom, I Say Old Timey",,,"Food & Cooking","PBS",
"Physical","Horizon","SOUNDDISC","2018","3","1","Old school jams 5.",,,"Popular music, Funk Music","SPG Music,","[2004]"
"Digital","Freegal","SONG","2018","3","2","I Believe I Can Fly",,"R. Kelly",,,
"Digital","OverDrive","EBOOK","2018","3","1","Wayne of Gotham",,"Tracy Hickman","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Physical","Horizon","BOOK","2018","3","2","India.",,,"India Description and travel, India Guidebooks","Doris Kindersley Limited,","2017."
"Digital","OverDrive","EBOOK","2018","3","5","I'd Know You Anywhere: A Novel",,"Laura Lippman","Fiction, Mystery","HarperCollins Publishers Inc.","2010"
"Digital","Freegal","SONG","2018","3","1","Six Morceaux, Op. 19: V. Capriccioso",,"Piotr Ilyich Tchaikovsky,Valery Vishnevsky",,,
"Digital","OverDrive","EBOOK","2018","3","2","The Deep End of the Ocean",,"Jacquelyn Mitchard","Fiction, Literature","Penguin Group (USA), Inc.","2009"
"Digital","Freegal","SONG","2018","3","1","What to Do with the Neutral (Live, In Studio at 107.7 the End Seattle)",,"Mudhoney",,,
"Physical","Horizon","BOOK","2018","3","1","By the Iowa sea : a memoir / Joe Blair.",,"Blair, Joe, 1962-","Blair Joe 1962","Scribner,","2012."
"Digital","OverDrive","EBOOK","2018","3","2","The Mysterious Mr. Quin",,"Agatha Christie","Fiction, Mystery","HarperCollins Publishers Inc.","2010"
"Digital","OverDrive","EBOOK","2018","3","1","Secondhand Charm",,"Julie Berry","Fantasy, Young Adult Fiction","Bloomsbury USA","2010"
"Digital","OverDrive","EBOOK","2018","3","3","Apex: Nexus Trilogy Book 3",,"Ramez Naam","Fiction, Science Fiction, Thriller","Random House, Inc.","2016"
"Digital","Freegal","SONG","2018","3","1","High on the Hog",,"Tommy Castro,The Legendary Rhythm & Blues Revue",,,
"Physical","Horizon","SOUNDDISC","2018","3","1","Clear heart full eyes / Craig Finn.",,"Finn, Craig","Rock music 2011 2020","Vagrant,","[2011]"
"Digital","Hoopla","COMIC","2018","3","1","Winnebago Graveyard",,,"Fiction, Horror","Image Comics",
"Digital","OverDrive","EBOOK","2018","3","2","More Than This",,"Patrick Ness","Young Adult Fiction, Young Adult Literature","Candlewick Press","2013"
